timestamp,slug,file,lang,status_msg,run_success,total_correct,total_testcases,status_runtime,status_memory,runtime_percentile,memory_percentile,question_id,submission_id,state
2025-10-16T11:08:11.984435Z,word-ladder-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0126__word-ladder-ii/python/word-ladder-ii.py,python,Time Limit Exceeded,False,33,38,N/A,N/A,None,None,126,1803290651,SUCCESS
2025-10-16T11:08:28.288051Z,word-ladder,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0127__word-ladder/python/word-ladder.py,python,Accepted,True,51,51,36 ms,13 MB,98.23969999999996,84.85919999999999,127,1803290929,SUCCESS
2025-10-16T11:08:41.158318Z,palindrome-partitioning-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0132__palindrome-partitioning-ii/python/palindrome-partitioning-ii.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:08:57.663060Z,candy,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0135__candy/python/candy.py,python,Accepted,True,50,50,15 ms,13.8 MB,85.38709999999999,99.4399,135,1803291231,SUCCESS
2025-10-16T11:09:14.024682Z,word-break-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0140__word-break-ii/python/word-break-ii.py,python,Accepted,True,29,29,0 ms,12.3 MB,100,83.7128,140,1803291410,SUCCESS
2025-10-16T11:09:31.677595Z,max-points-on-a-line,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0149__max-points-on-a-line/python/max-points-on-a-line.py,python,Runtime Error,False,0,42,N/A,N/A,None,None,149,1803291569,SUCCESS
2025-10-16T11:09:47.834159Z,find-minimum-in-rotated-sorted-array-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0154__find-minimum-in-rotated-sorted-array-ii/python/find-minimum-in-rotated-sorted-array-ii.py,python,Accepted,True,193,193,4 ms,12.7 MB,6.022599999999993,92.3463,154,1803291737,SUCCESS
2025-10-16T11:10:01.039502Z,read-n-characters-given-read4-ii-call-multiple-times,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0158__read-n-characters-given-read4-ii-call-multiple-times/python/read-n-characters-given-read4-ii-call-multiple-times.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:10:17.492404Z,dungeon-game,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0174__dungeon-game/python/dungeon-game.py,python,Accepted,True,45,45,7 ms,12.9 MB,58.67510000000001,95.2681,174,1803292078,SUCCESS
2025-10-16T11:10:33.650567Z,best-time-to-buy-and-sell-stock-iv,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0188__best-time-to-buy-and-sell-stock-iv/python/best-time-to-buy-and-sell-stock-iv.py,python,Accepted,True,211,211,3 ms,12.3 MB,100,96.8579,188,1803292229,SUCCESS
