problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_gain_pct,runtime_gain_pct
data-stream-as-disjoint-intervals,0.0058964252471923,0.1925918817520141,0.0576536,2.9164233,98.02314019367489,96.93838328305827
lexicographically-smallest-generated-string,0.0049715518951416,0.180250883102417,0.0601195,3.1871624,98.11369825397037,97.24187099137994
best-time-to-buy-and-sell-stock-iii,0.0029088973999023,0.1490979671478271,0.039648,2.1373297,98.1449750125121,98.04900264198895
remove-boxes,0.0051702737808227,0.1962745666503906,0.0534546,2.9291549999999997,98.17508462338115,97.36579534014098
cracking-the-safe,0.0196182966232299,0.7335590124130249,0.2157343,11.9803834,98.19927048411489,97.32560076404815
longest-valid-parentheses,0.002786374092102,0.1322406053543091,0.0330384,1.8902966,98.25221079062409,97.89295119707255
preimage-size-of-factorial-zeroes-function,0.0041341543197631,0.220790672302246,0.054858199999999996,3.2052349,98.28848113440921,98.12756839921944
number-of-integers-with-popcount-depth-equal-to-k-i,0.003417158126831,0.1311991691589355,0.0380007,2.2348149999999998,98.29960421779879,97.39544225109275
transform-to-chessboard,0.0053131580352783,0.2810147285461425,0.0752258,4.449201400000001,98.3092291573944,98.10929552953809
24-game,0.2759062528610229,14.599593234062194,4.1381793,253.5215676,98.36772100331555,98.11017849307397
stickers-to-spell-word,0.0140486478805542,0.6168296575546265,0.1588683,9.848516,98.38688082549696,97.72244286433163
minimum-operations-to-make-array-elements-zero,0.0025476932525634,0.1267042398452758,0.031586,2.0120983,98.43019597998767,97.9892596682838
minimum-swaps-to-make-sequences-increasing,0.0028254270553588,0.1803319454193115,0.038036600000000004,2.7244496999999996,98.60387952840532,98.4332076888601
sum-of-beautiful-subsequences,0.1211818933486938,7.1462646484375,1.5972494,118.45962739999999,98.65165083239152,98.3042624460432
smallest-substring-with-identical-characters-ii,0.0045280694961547,0.2355141401290893,0.0517091,3.9486651,98.69046630467597,98.07736830847065
cherry-pickup,0.0087311267852783,0.6078923463821411,0.1223323,9.690783,98.73764276839137,98.56370509725258
count-k-reducible-numbers-less-than-n,0.0071309089660644,0.4557879924774169,0.0913694,7.6406114999999994,98.80416115909047,98.43547678224154
check-if-digits-are-equal-in-string-after-operations-ii,0.0034077644348144,0.1809460878372192,0.0382633,3.2258096000000003,98.81383885769327,98.11669626265696
count-connected-components-in-lcm-graph,0.0045416593551635,0.3037691593170166,0.0594968,5.2836471,98.87394447672328,98.50489780945017
longest-palindrome-after-substring-concatenation-ii,0.011128830909729,0.7915925025939942,0.14664229999999998,13.623042400000001,98.92357158045695,98.59412123368266
minimum-cost-path-with-teleportations,0.0065407514572143,0.4265445947647094,0.0763,7.4156732,98.97109813307307,98.46657265442028
smallest-substring-with-identical-characters-i,0.0058929443359375,0.4560746192932129,0.0707703,7.830998,99.09627993775504,98.70789908347237
minimum-stability-factor-of-array,0.0316306829452514,2.738977384567261,0.39916880000000005,44.723976400000005,99.10748365389085,98.84516450834994
k-inverse-pairs-array,0.0367867231369018,3.1186940908432006,0.3847097,51.6416825,99.25504034458984,98.82044464556779
sorted-gcd-pair-queries,0.0056285619735717,0.5664610624313354,0.0696469,9.5511348,99.27079973784895,99.00636383559831
minimum-cost-good-caption,0.0304913759231567,4.080641555786133,0.4184131,68.655635,99.39056262461196,99.25277985075847
race-car,0.2459869146347046,37.49765622615814,3.1663311000000003,590.4134117000001,99.4637094894435,99.34399389350872
minimum-cost-to-divide-array-into-subarrays,0.0119921922683715,1.7549198865890503,0.1471675,28.7495905,99.48810575232368,99.31665300735294
profitable-schemes,0.2362126111984253,45.19171993732452,3.0511521,738.5418165,99.58686806463315,99.4773099773011
minimum-number-of-refueling-stops,0.0043838262557983,1.1415870904922485,0.0563965,18.7751838,99.69962211501759,99.61598845219002
